KJVWord,DictWord
follow,follow
followed,followed
followedst,
followers,
followeth,
following,following
folly,folly
food,food
fool,fool
fool's,
foolish,foolish
foolishly,foolishly
foolishness,foolishness
fools,
foot,foot
footmen,
footsteps,
footstool,footstool
for,for
forasmuch,
forbad,forbad
forbare,
forbear,forbear
forbearance,forbearance
forbeareth,
forbearing,forbearing
forbid,forbid
forbidden,
forbiddeth,
forbidding,forbidding
forborn,
force,force
forced,forced
forces,
forcible,forcible
forcing,forcing
ford,ford
fords,
forecast,forecast
forefathers,
forefront,forefront
forehead,forehead
foreheads,
foreigner,foreigner
foreigners,
foreknew,
foreknow,foreknow
foreknowledge,foreknowledge
foremost,foremost
foreordained,
forepart,forepart
forerunner,forerunner
foresaw,
foreseeing,foreseeing
foreseeth,
foreship,foreship
foreskin,foreskin
foreskins,
forest,forest
forests,
foretell,foretell
foretold,
forewarn,forewarn
forewarned,forewarned
forfeited,forfeited
forgat,
forgave,forgave
forgavest,
forged,forged
forgers,
forget,forget
forgetful,forgetful
forgetfulness,forgetfulness
forgettest,
forgetteth,
forgetting,forgetting
forgive,forgive
forgiven,forgiven
forgiveness,forgiveness
forgivenesses,
forgiveth,
forgiving,forgiving
forgot,forgot
forgotten,
forks,
form,form
formed,formed
former,former
formeth,
forms,
fornication,fornication
fornications,
fornicator,fornicator
fornicators,
forsake,forsake
forsaken,forsaken
forsaketh,
forsaking,forsaking
forsomuch,
forsook,
forsookest,
forswear,forswear
fort,fort
forth,forth
forthwith,forthwith
fortieth,fortieth
fortified,
fortify,fortify
fortress,fortress
fortresses,
forts,
fortunatus,
forty,forty
forty's,
forum,forum
forward,forward
forwardness,forwardness
fought,fought
foul,foul
fouled,fouled
fouledst,
found,found
foundation,foundation
foundations,
founded,founded
founder,founder
foundest,
fountain,
fountains,
four,four
fourfold,fourfold
fourfooted,fourfooted
fourscore,fourscore
foursquare,foursquare
fourteen,fourteen
fourteenth,fourteenth
fourth,fourth
fowl,fowl
fowler,fowler
fowlers,
fowls,
fox,fox
foxes,
fragments,
frail,frail
frame,frame
framed,framed
frameth,
frankincense,frankincense
frankly,frankly
fraud,fraud
fray,fray
freckled,freckled
free,free
freed,freed
freedom,freedom
freely,freely
freeman,freeman
freewill,freewill
freewoman,freewoman
frequent,frequent
fresh,fresh
fresher,
fret,fret
fretted,fretted
fretteth,
fretting,fretting
fried,
friend,friend
friendly,friendly
friends,
friendship,friendship
fringe,fringe
fringes,
fro,fro
frogs,
from,from
front,front
frontiers,
frontlets,
frost,frost
froward,froward
frowardly,frowardly
frowardness,frowardness
frozen,frozen
fruit,fruit
fruitful,fruitful
fruits,
frustrate,frustrate
frustrateth,
fryingpan,fryingpan
fuel,fuel
fugitive,fugitive
fugitives,
fulfil,
fulfilled,fulfilled
fulfilling,fulfilling
full,full
fuller,fuller
fuller's,
fullers',
fully,fully
fulness,
furbish,furbish
furbished,furbished
furious,furious
furiously,furiously
furlongs,
furnace,furnace
furnaces,
furnish,furnish
furnished,furnished
furniture,furniture
furrow,furrow
furrows,
further,further
furtherance,furtherance
furthered,furthered
furthermore,furthermore
fury,fury
gaal,
gaash,
gaba,
gabbai,
gabbatha,
gabriel,
gad,gad
gadarenes,
gaddest,
gaddi,
gaddiel,
gadi,
gadite,
gadites,
gaham,
gahar,
gain,gain
gained,gained
gains,
gainsay,gainsay
gainsayers,
gainsaying,gainsaying
gaius,
galal,
galatia,
galatians,galatians
galbanum,
galeed,
galilaean,
galilaean,
galilaeans,
galilee,
gall,gall
gallant,gallant
galleries,
gallery,gallery
galley,galley
gallim,
gallio,
gallows,gallows
gamaliel,
gammadims,
gamul,
gap,gap
gaped,
gaps,
garden,garden
gardener,gardener
gardens,
gareb,
garlands,
garlick,
garment,garment
garments,
garmite,
garner,garner
garners,
garnish,garnish
garnished,garnished
garrison,garrison
garrisons,
gashmu,
gat,gat
gatam,
gate,gate
gates,
gath,
gath-hepher,
gath-rimmon,
gather,gather
gathered,gathered
gatherer,gatherer
gatherest,
gathereth,
gathering,gathering
gatherings,
gave,gave
gavest,
gay,gay
gaza,
gazathites,
gaze,gaze
gazer,gazer
gazez,
gazing,gazing
gazingstock,gazingstock
gazites,
gazzam,
geba,
gebal,
geber,
gebim,
gedaliah,
gedeon,
geder,
gederah,
gederathite,
gederite,
gederoth,
gederothaim,
gedor,
gehazi,
geliloth,
gemalli,
gemariah,
gender,gender
gendered,
gendereth,
genealogies,
genealogy,genealogy
general,general
generally,generally
generation,generation
generations,
gennesaret,
gentile,gentile
gentiles,
gentle,gentle
gentleness,gentleness
gently,gently
genubath,
gera,
gerahs,
gerar,
gergesenes,
gerizim,
gershom,
gershon,
gershonite,
gershonites,
geshan,
geshem,
geshur,
geshuri,
geshurites,
get,get
gether,
gethsemane,
getteth,
getting,getting
geuel,
gezer,
gezrites,
ghost,ghost
giah,
giant,giant
giants,
gibbar,
gibbethon,
gibea,
gibeah,
gibeath,
gibeathite,
gibeon,
gibeonite,
gibeonites,
giblites,
giddalti,
giddel,
gideon,
gideoni,
gidom,
gier,
gift,gift
gifts,
gihon,
gilalai,
gilboa,
gilead,
gilead's,
gileadite,
gileadites,
gilgal,
giloh,
gilonite,
gimzo,
gin,gin
ginath,
ginnetho,
ginnethon,
gins,
gird,gird
girded,girded
girdedst,
girdeth,
girding,girding
girdle,girdle
girdles,
girgashite,
girgashites,
girgasite,
girl,girl
girls,
girt,girt
gispa,
gittah-hepher,
gittaim,
gittite,
gittites,
give,give
given,given
giver,giver
givest,
giveth,
giving,giving
gizonite,
glad,glad
gladly,gladly
gladness,gladness
glass,glass
glasses,
glean,glean
gleaned,gleaned
gleaning,gleaning
gleanings,
glede,glede
glistering,glistering
glitter,glitter
glittering,glittering
gloominess,gloominess
gloriest,
glorieth,
glorified,glorified
glorifieth,
glorify,glorify
glorifying,glorifying
glorious,glorious
gloriously,gloriously
glory,glory
glorying,glorying
glutton,glutton
gluttonous,gluttonous
gnash,gnash
gnashed,
gnasheth,
gnashing,gnashing
gnat,gnat
gnaw,gnaw
gnawed,gnawed
go,go
goad,goad
goads,
goat,goat
goath,
goats,
goats',
goatskins,
gob,gob
goblet,goblet
god,god
god's,
god-ward,
goddess,goddess
godhead,godhead
godliness,godliness
godly,godly
gods,
goest,
goeth,
gog,gog
going,going
goings,
golan,
gold,gold
golden,golden
goldsmith,goldsmith
goldsmith's,
goldsmiths,
golgotha,
goliath,
gomer,
gomorrah,
gomorrha,
gone,gone
good,good
goodlier,
goodliest,
goodliness,goodliness
goodly,goodly
goodman,goodman
goodness,goodness
goodness',
goods,goods
gopher,
gore,gore
gored,gored
gorgeous,gorgeous
gorgeously,gorgeously
goshen,
gospel,gospel
gospel's,
got,got
gotten,gotten
gourd,gourd
gourds,
govern,govern
government,government
governments,
governor,governor
governor's,
governors,
gozan,
grace,grace
gracious,gracious
graciously,graciously
graff,graff
graffed,
grain,grain
grandmother,grandmother
grant,grant
granted,granted
grape,grape
grapegatherer,
grapegatherers,
grapegleanings,
grapes,
grass,grass
grasshopper,grasshopper
grasshoppers,
grate,grate
grave,grave
grave's,
graveclothes,
graved,graved
gravel,gravel
graven,
graves,
graveth,
graving,graving
gravings,
gravity,gravity
gray,gray
grayheaded,
grease,grease
great,great
greater,
greatest,
greatly,greatly
greatness,greatness
greaves,greaves
grecia,
grecians,
greece,greece
greedily,greedily
greediness,greediness
greedy,greedy
greek,greek
greeks,
green,green
greenish,greenish
greenness,greenness
greet,greet
greeteth,
greeting,greeting
greetings,
grew,grew
greyhound,greyhound
grief,grief
griefs,
grievance,grievance
grieve,grieve
grieved,grieved
grieveth,
grieving,grieving
grievous,grievous
grievously,grievously
grievousness,grievousness
grind,grind
grinders,
grinding,grinding
grisled,
groan,groan
groaned,
groaneth,
groaning,groaning
groanings,
grope,grope
gropeth,
gross,gross
ground,ground
grounded,
grove,grove
groves,
grow,grow
groweth,
grown,grown
growth,growth
grudge,grudge
grudging,grudging
grudgingly,grudgingly
guard,guard
guard's,
gudgodah,
guest,guest
guestchamber,
guests,
guide,guide
guided,guided
guides,
guiding,guiding
guile,guile
guilt,guilt
guiltiness,guiltiness
guiltless,guiltless
guilty,guilty
gulf,gulf
guni,
gunites,
gur,
gur-baal,
gush,gush
gushed,
gutter,gutter
gutters,
ha,ha
haahashtari,
habaiah,
habakkuk,
habaziniah,
habergeon,habergeon
habergeons,
habitable,habitable
habitation,habitation
habitations,
habor,
hachaliah,
hachilah,
hachmoni,
hachmonite,
had,had
hadad,
hadadezer,
hadadrimmon,
hadar,
hadarezer,
hadashah,
hadassah,
hadattah,
hadid,
hadlai,
hadoram,
hadrach,
hadst,
haft,haft
hagab,
hagaba,
hagabah,
hagar,
hagarenes,
hagarites,
hagerite,
haggai,
haggeri,
haggi,
haggiah,
haggites,
haggith,
hai,
hail,hail
hailstones,
hair,hair
hairs,
hairy,hairy
hakkatan,
hakkoz,
hakupha,
halah,
halak,
hale,hale
half,half
halhul,
hali,
haling,haling
hall,hall
hallohesh,
hallow,hallow
hallowed,hallowed
halohesh,
halt,halt
halted,
halteth,
halting,halting
ham,ham
haman,
haman's,
hamath,
hamath-zobah,
hamathite,
hammath,
hammedatha,
hammelech,
hammer,hammer
hammers,
hammoleketh,
hammon,
hammoth-dor,
hamon-gog,
hamonah,
hamor,
hamor's,
hamuel,
hamul,
hamulites,
hamutal,
hanameel,
hanan,
hananeel,
hanani,
hananiah,
hand,hand
handbreadth,handbreadth
handed,handed
handful,handful
handfuls,
handkerchiefs,
handle,handle
handled,handled
handles,
handleth,
handling,handling
handmaid,handmaid
handmaiden,
handmaidens,
handmaids,
hands,
handstaves,
handwriting,handwriting
handywork,
hanes,
hang,hang
hanged,hanged
hangeth,
hanging,hanging
hangings,
haniel,
hannah,
hannathon,
hanniel,
hanoch,
hanochites,
hanun,
hap,hap
hapharaim,
haply,haply
happen,happen
happened,
happeneth,
happier,
happy,happy
hara,
haradah,
haran,
hararite,
harbona,
harbonah,
hard,hard
harden,harden
hardened,hardened
hardeneth,
harder,
hardhearted,hardhearted
hardly,hardly
hardness,hardness
hare,hare
hareph,
hareth,
harhaiah,
harhas,
harhur,
harim,
hariph,
harlot,harlot
harlot's,
harlots,
harlots',
harm,harm
harmless,harmless
harnepher,
harness,harness
harnessed,harnessed
harod,
harodite,
haroeh,
harorite,
harosheth,
harp,harp
harped,
harpers,
harping,harping
harps,
harrow,harrow
harrows,
harsha,
hart,
harts,
harum,
harumaph,
haruphite,
haruz,
harvest,harvest
harvestman,
hasadiah,
hasenuah,
hashabiah,
hashabnah,
hashabniah,
hashbadana,
hashem,
hashmonah,
hashub,
hashubah,
hashum,
hashupha,
hasrah,
hassenaah,
hasshub,
hast,hast
haste,haste
hasted,hasted
hasten,
hastened,hastened
hasteneth,
hasteth,
hastily,hastily
hasting,hasting
hasty,hasty
hasupha,
hatach,
hatch,hatch
hatcheth,
hate,hate
hated,hated
hateful,hateful
hatefully,hatefully
haters,
hatest,
hateth,
hath,
hathath,
hating,hating
hatipha,
hatita,
hatred,hatred
hats,
hattil,
hattush,
haughtily,haughtily
haughtiness,haughtiness
haughty,haughty
haunt,haunt
hauran,
have,have
haven,haven
havens,
havilah,
having,having
havock,havock
havoth-jair,
hawk,hawk
hay,hay
hazael,
hazaiah,
hazar-addar,
hazar-enan,
hazar-gaddah,
hazar-hatticon,
hazar-shual,
hazar-susah,
hazar-susim,
hazarded,hazarded
hazarmaveth,
hazazon-tamar,
hazel,hazel
hazelelponi,
hazerim,
hazeroth,
hazezon-tamar,
haziel,
hazo,
hazor,
he,he
head,head
headbands,
headlong,headlong
heads,
headstone,headstone
heady,heady
heal,heal
healed,healed
healer,healer
healeth,
healing,healing
healings,
health,health
heap,heap
heaped,heaped
heapeth,
heaps,
hear,hear
heard,heard
heardest,
hearer,hearer
hearers,
hearest,
heareth,
hearing,hearing
hearken,hearken
hearkened,
hearkenedst,
hearkeneth,
hearkening,hearkening
heart,heart
heart's,
hearted,hearted
hearth,hearth
heartily,heartily
hearts,
hearts',
hearty,hearty
heat,heat
heated,heated
heath,heath
heathen,heathen
heave,heave
heaved,
heaven,heaven
heaven's,
heavenly,heavenly
heavens,
heavier,
heavily,heavily
heaviness,heaviness
heavy,heavy
heber,
heber's,
heberites,
hebrew,hebrew
hebrewess,hebrewess
hebrews,
hebrews',
hebron,
hebronites,
hedge,hedge
hedged,
hedges,
heed,heed
heel,heel
heels,
hegai,
hege,
heifer,heifer
heifer's,
height,height
heights,
heinous,heinous
heir,heir
heirs,
helah,
helam,
helbah,
helbon,
held,held
heldai,
heleb,
heled,
helek,
helekites,
helem,
heleph,
helez,
heli,
helkai,
helkath,
helkath-hazzurim,
hell,hell
helm,helm
helmet,
helmets,
helon,
help,help
helped,
helper,helper
helpers,
helpeth,
helping,
helps,
helve,helve
hem,hem
hemam,
heman,
hemath,
hemdan,
hemlock,hemlock
hems,
hen,hen
hena,
henadad,
hence,hence
henceforth,henceforth
henceforward,henceforward
henoch,
hepher,
hepherites,
hephzi-bah,
her,her
herald,herald
herb,herb
herbs,
herd,herd
herdman,herdman
herdmen,
herds,
here,here
hereafter,hereafter
hereby,hereby
herein,herein
hereof,hereof
heres,
heresh,
heresies,
heresy,heresy
heretick,
heretofore,heretofore
hereunto,
herewith,herewith
heritage,heritage
heritages,
hermas,
hermes,
hermogenes,
hermon,
hermonites,
herod,
herod's,
herodians,herodians
herodias,
herodias',
herodion,
heron,heron
hers,hers
herself,herself
hesed,
heshbon,
heshmon,
heth,
hethlon,
hew,hew
hewed,hewed
hewer,hewer
hewers,
heweth,
hewn,hewn
hezeki,
hezekiah,
hezion,
hezir,
hezrai,
hezro,
hezron,
hezron's,
hezronites,
hid,hid
hiddai,
hiddekel,
hidden,hidden
hide,hide
hidest,
hideth,
hiding,hiding
hiel,
hierapolis,
higgaion,
high,high
higher,
highest,
highly,highly
highminded,
highness,highness
highway,highway
highways,
hilen,
hilkiah,
hilkiah's,
hill,hill
hill's,
hillel,
hills,
him,him
himself,himself
hin,hin
hind,hind
hinder,hinder
hindered,hindered
hindereth,
hindermost,hindermost
hindmost,hindmost
hinds,
hinds',
hinges,
hinnom,
hip,hip
hirah,
hiram,
hiram's,
hire,hire
hired,hired
hireling,hireling
hires,
hirest,
his,his
hiss,hiss
hissing,hissing
hit,hit
hither,hither
hitherto,hitherto
hittite,
hittites,
hivite,
hivites,
hizkiah,
hizkijah,
ho,ho
hoar,hoar
hoarfrost,
hoary,hoary
hobab,
hobah,
hod,hod
hodaiah,
hodaviah,
hodesh,
hodevah,
hodiah,
hodijah,
hoglah,
hoham,
hoised,
hold,hold
holden,
holdest,
holdeth,
holding,holding
holds,
hole,hole
hole's,
holes,
holier,
holiest,
holily,holily
holiness,holiness
hollow,hollow
holon,
holpen,holpen
holy,holy
holyday,holyday
homam,
home,home
homeborn,homeborn
homer,homer
homers,
honest,honest
honestly,honestly
honesty,honesty
honey,honey
honeycomb,
honour,
honourable,
honoured,
honourest,
honoureth,
honours,
hoods,
hoof,hoof
hoofs,
hook,hook
hooks,
hope,hope
hope's,
hoped,hoped
hopeth,
hophni,
hoping,hoping
hor,
hor-hagidgad,
horam,
horeb,
horem,
hori,
horims,
horite,
horites,
hormah,
horn,horn
hornet,hornet
hornets,
horns,
horonaim,
horonite,
horrible,horrible
horribly,horribly
horror,horror
horse,horse
horseback,horseback
horsehoofs,
horseleach,
horseman,horseman
horsemen,
horses,
horses',
hosah,
hosanna,hosanna
hosea,
hosen,
hoshaiah,
hoshama,
hoshea,
hospitality,hospitality
host,host
hostages,
hosts,
hot,hot
hotham,
hothan,
hothir,
hotly,hotly
hottest,
hough,hough
houghed,
hour,hour
hours,
house,house
household,household
householder,householder
households,
houses,
housetop,
housetops,
how,how
howbeit,howbeit
howl,howl
howled,
howling,howling
howlings,
howsoever,howsoever
huge,huge
hukkok,
hukok,
hul,
huldah,
humble,
humbled,humbled
humbledst,
humbleness,humbleness
humbleth,
humbly,humbly
humiliation,humiliation
humility,humility
humtah,
hundred,hundred
hundredfold,
hundreds,
hundredth,hundredth
hunger,hunger
hungerbitten,
hungered,
hungred,hungred
hungry,hungry
hunt,hunt
hunted,hunted
hunter,hunter
hunters,
huntest,
hunteth,
hunting,hunting
hupham,
huphamites,
huppah,
huppim,
hur,
hurai,
huram,
huri,
hurl,hurl
hurleth,
hurling,hurling
hurt,hurt
hurtful,hurtful
hurting,
husband,husband
husband's,
husbandman,husbandman
husbandmen,
husbandry,husbandry
husbands,
hushah,
hushai,
husham,
hushathite,
hushim,
husk,husk
husks,
huz,
huzzab,
hymenaeus,
hymn,hymn
hymns,
hypocrisies,
hypocrisy,hypocrisy
hypocrite,hypocrite
hypocrite's,
hypocrites,
hypocritical,
hyssop,
i,i
i-chabod,
i-chabod's,
ibhar,
ibleam,
ibneiah,
ibnijah,
ibri,
ibzan,
ice,ice
iconium,
idalah,
idbash,
iddo,
idle,idle
idleness,idleness
idol,idol
idol's,
idolater,idolater
idolaters,
idolatries,
idolatrous,idolatrous
idolatry,idolatry
idols,
idumaea,
idumea,
if,if
igal,
igdaliah,
igeal,
ignominy,ignominy
ignorance,ignorance
ignorant,ignorant
ignorantly,ignorantly
iim,
ije-abarim,
ijon,
ikkesh,
ilai,
ill,ill
illuminated,illuminated
illyricum,
image,image
image's,
imagery,imagery
images,
imagination,imagination
imaginations,
imagine,imagine
imagined,imagined
imagineth,
imla,
imlah,
immanuel,
immediately,immediately
immer,
immortal,immortal
immortality,immortality
immutability,immutability
immutable,immutable
imna,
imnah,
impart,impart
imparted,imparted
impediment,impediment
impenitent,impenitent
imperious,imperious
implacable,
implead,implead
importunity,importunity
impose,impose
imposed,imposed
impossible,impossible
impotent,impotent
impoverish,impoverish
impoverished,impoverished
imprisoned,imprisoned
imprisonment,imprisonment
imprisonments,
impudent,impudent
impute,impute
imputed,imputed
imputeth,
imputing,imputing
imrah,
imri,
in,in
inasmuch,
incense,incense
incensed,incensed
incline,incline
inclined,inclined
inclineth,
inclose,inclose
inclosed,inclosed
inclosings,
incontinency,
incontinent,incontinent
incorruptible,incorruptible
incorruption,incorruption
increase,increase
increased,increased
increasest,
increaseth,
increasing,increasing
incredible,incredible
incurable,incurable
indebted,indebted
indeed,indeed
india,india
indignation,indignation
inditing,inditing
industrious,industrious
inexcusable,inexcusable
infallible,
infamous,infamous
infamy,
infant,infant
infants,
inferior,inferior
infidel,infidel
infinite,infinite
infirmities,
infirmity,infirmity
inflame,inflame
inflammation,inflammation
inflicted,inflicted
influences,
infolding,infolding
inform,inform
informed,informed
ingathering,ingathering
inhabit,inhabit
inhabitant,inhabitant
inhabitants,
inhabited,inhabited
inhabiters,
inhabitest,
inhabiteth,
inhabiting,inhabiting
inherit,inherit
inheritance,inheritance
inheritances,
inherited,inherited
inheriteth,
inheritor,inheritor
iniquities,
iniquity,iniquity
injured,injured
injurious,injurious
injustice,injustice
ink,ink
inkhorn,inkhorn
inn,inn
inner,inner
innermost,innermost
innocency,
innocent,innocent
innocents,
innumerable,
inordinate,inordinate
inquisition,inquisition
inscription,inscription
inside,inside
insomuch,insomuch
inspiration,inspiration
instant,instant
instantly,instantly
instead,instead
instruct,instruct
instructed,instructed
instructer,
instructing,instructing
instruction,instruction
instructor,instructor
instructors,
instrument,instrument
instruments,
insurrection,insurrection
integrity,integrity
intelligence,intelligence
intend,intend
intended,intended
intendest,
intending,intending
intent,intent
intents,
intercession,intercession
intercessions,
intercessor,intercessor
intermeddle,intermeddle
intermeddleth,
intermission,intermission
interpret,interpret
interpretation,interpretation
interpretations,
interpreted,interpreted
interpreter,interpreter
interpreting,interpreting
into,into
intreat,
intreated,
intreaties,
intreaty,
intruding,intruding
invade,invade
invaded,invaded
invasion,invasion
invent,invent
invented,invented
inventions,
inventors,
invisible,
invited,invited
inward,inward
inwardly,inwardly
inwards,inwards
iphedeiah,
ir,
ir-nahash,
ir-shemesh,
ira,
irad,
iram,
iri,
irijah,
iron,iron
irons,
irpeel,
iru,
is,is
isaac,
isaac's,
isaiah,
iscah,
iscariot,
ish-bosheth,
ish-tob,
ishbah,
ishbak,
ishbi-benob,
ishi,
ishiah,
ishijah,
ishma,
ishmael,
ishmael's,
ishmaelite,
ishmaelites,
ishmaiah,
ishmeelite,
ishmeelites,
ishmerai,
ishod,
ishpan,
ishuah,
ishuai,
ishui,
island,island
islands,
isle,isle
isles,
ismachiah,
ismaiah,
ispah,
israel,
israel's,
israelite,israelite
israelites,
israelitish,
issachar,
isshiah,
issue,issue
issued,issued
issues,
isuah,
isui,
it,it
italian,italian
italy,
itch,itch
itching,itching
ithai,
ithamar,
ithiel,
ithmah,
ithnan,
ithra,
ithran,
ithream,
ithrite,
ithrites,
its,
itself,itself
ittah-kazin,
ittai,
ituraea,
ivah,
ivory,ivory
izehar,
izeharites,
izhar,
izharites,
izrahiah,
izrahite,
izri,
jaakan,
jaakobah,
jaala,
jaalah,
jaalam,
jaanai,
jaare-oregim,
jaasau,
jaasiel,
jaazaniah,
jaazer,
jaaziah,
jaaziel,
jabal,
jabbok,
jabesh,
jabesh-gilead,
jabez,
jabin,
jabin's,
jabneel,
jabneh,
jachan,
jachin,
jachinites,
jacinth,jacinth
jacob,
jacob's,
jada,
jadau,
jaddua,
jadon,
jael,
jagur,
jah,jah
jahath,
jahaz,
jahazah,
jahaziah,
jahaziel,
jahdai,
jahdiel,
jahdo,
jahleel,
jahleelites,
jahmai,
jahzah,
jahzeel,
jahzeelites,
jahzerah,
jahziel,
jailor,
jair,
jairite,
jairus,
jakan,
jakeh,
jakim,
jalon,
jambres,
james,
jamin,
jaminites,
jamlech,
jangling,jangling
janna,
jannes,
janoah,
janohah,
janum,
japheth,
japhia,
japhlet,
japhleti,
japho,
jarah,
jareb,
jared,
jaresiah,
jarha,
jarib,
jarmuth,
jaroah,
jashen,
jasher,
jashobeam,
jashub,
jashubi-lehem,
jashubites,
jasiel,
jason,
jasper,jasper
jathniel,
jattir,
javan,
javelin,javelin
jaw,jaw
jawbone,
jaws,
jazer,
jaziz,
jealous,jealous
jealousies,
jealousy,jealousy
jearim,
jeaterai,
jeberechiah,
jebus,
jebusi,
jebusite,
jebusites,
jecamiah,
jecholiah,
jechonias,
jecoliah,
jeconiah,
jedaiah,
jediael,
jedidah,
jedidiah,
jeduthun,
jeezer,
jeezerites,
jegar-sahadutha,
jehaleleel,
jehalelel,
jehdeiah,
jehezekel,
jehiah,
jehiel,
jehieli,
jehizkiah,
jehoadah,
jehoaddan,
jehoahaz,
jehoash,
jehohanan,
jehoiachin,
jehoiachin's,
jehoiada,
jehoiakim,
jehoiarib,
jehonadab,
jehonathan,
jehoram,
jehoshabeath,
jehoshaphat,
jehosheba,
jehoshua,
jehovah,jehovah
jehovah-jireh,
jehovah-nissi,
jehovah-shalom,
jehozabad,
jehozadak,
jehu,
jehubbah,
jehucal,
jehud,
jehudi,
jehudijah,
jehush,
jeiel,
jekabzeel,
jekameam,
jekamiah,
jekuthiel,
jemima,
jemuel,
jeoparded,
jeopardy,jeopardy
jephthae,
jephthah,
jephunneh,
jerah,
jerahmeel,
jerahmeelites,
jered,
jeremai,
jeremiah,
jeremiah's,
jeremias,
jeremoth,
jeremy,
jeriah,
jeribai,
jericho,
jeriel,
jerijah,
jerimoth,
jerioth,
jeroboam,
jeroboam's,
jeroham,
jerubbaal,
jerubbesheth,
jeruel,
jerusalem,
jerusalem's,
jerusha,
jerushah,
jesaiah,
jeshaiah,
jeshanah,
jesharelah,
jeshebeab,
jesher,
jeshimon,
jeshishai,
jeshohaiah,
jeshua,
jeshurun,
jesiah,
jesimiel,
jesse,jesse
jesting,jesting
jesui,
jesuites,
jesurun,
jesus,
jesus',
jether,
jetheth,
jethlah,
jethro,
jetur,
jeuel,
jeush,
jeuz,
jew,jew
jewel,jewel
jewels,
jewess,jewess
jewish,jewish
jewry,jewry
jews,
jews',
jezaniah,
jezebel,jezebel
jezebel's,
jezer,
jezerites,
jeziah,
jeziel,
jezliah,
jezoar,
jezrahiah,
jezreel,
jezreelite,
jezreelitess,
jibsam,
jidlaph,
jimna,
jimnah,
jimnites,
jiphtah,
jiphthah-el,
joab,
joab's,
joah,
joahaz,
joanna,
joash,
joatham,
job,job
job's,
jobab,
jochebed,
joed,
joel,
joelah,
joezer,
jogbehah,
jogli,
joha,
johanan,
john,
john's,
joiada,
joiakim,
joiarib,
join,join
joined,joined
joining,joining
joinings,
joint,joint
joint-heirs,
joints,
jokdeam,
jokim,
jokmeam,
jokneam,
jokshan,
joktan,
joktheel,
jona,
jonadab,
jonah,
jonan,
jonas,
jonathan,
jonathan's,
joppa,
jorah,
jorai,
joram,
jordan,
jorim,
jorkoam,
josabad,
josaphat,
jose,
josedech,
joseph,
joseph's,
joses,
joshah,
joshaphat,
joshaviah,
joshbekashah,
joshua,
josiah,
josias,
josibiah,
josiphiah,
jot,jot
jotbah,
jotbath,
jotbathah,
jotham,
journey,journey
journeyed,
journeying,journeying
journeyings,
journeys,
joy,joy
joyed,joyed
joyful,joyful
joyfully,joyfully
joyfulness,joyfulness
joying,
joyous,joyous
jozabad,
jozachar,
jozadak,
jubal,
jubile,
jucal,
juda,
judaea,
judaea,
judah,
judah's,
judas,
jude,
judea,
judge,judge
judged,judged
judges,
judgest,
judgeth,
judging,judging
judgment,judgment
judgments,
judith,
juice,juice
julia,
julius,
jumping,jumping
junia,
juniper,juniper
jupiter,jupiter
jurisdiction,jurisdiction
jushab-hesed,
just,just
justice,justice
justification,justification
justified,
justifier,justifier
justifieth,
justify,justify
justifying,
justle,justle
justly,justly
justus,
juttah,
kabzeel,
kadesh,
kadesh-barnea,
kadmiel,
kadmonites,
kallai,
kanah,
kareah,
karkaa,
karkor,
karnaim,
kartah,
kartan,
kattath,
kedar,
kedemah,
kedemoth,
kedesh,
kedesh-naphtali,
keep,keep
keeper,keeper
keepers,
keepest,
keepeth,
keeping,keeping
kehelathah,
keilah,
kelaiah,
kelita,
kemuel,
kenan,
kenath,
kenaz,
kenezite,
kenite,
kenites,
kenizzites,
kept,kept
kerchiefs,
keren-happuch,
kerioth,
kernels,
keros,
kettle,kettle
keturah,
key,key
keys,
kezia,
keziz,
kibroth-hattaavah,
kibzaim,
kick,kick
kicked,kicked
kid,kid
kidneys,
kidron,
kids,
kill,kill
killed,killed
killedst,
killest,
killeth,
killing,killing
kin,
kinah,
kind,kind
kindle,kindle
kindled,kindled
kindleth,
kindly,kindly
kindness,kindness
kindred,kindred
kindreds,
kinds,
kine,kine
king,king
king's,
kingdom,kingdom
kingdoms,
kingly,kingly
kings,
kings',
kinsfolk,kinsfolk
kinsfolks,
kinsman,kinsman
kinsman's,
kinsmen,
kinswoman,kinswoman
kinswomen,
kir,
kir-haraseth,
kir-hareseth,
kir-haresh,
kir-heres,
kiriathaim,
kirjath,
kirjath-arba,
kirjath-arim,
kirjath-baal,
kirjath-huzoth,
kirjath-jearim,
kirjath-sannah,
kirjath-sepher,
kirjathaim,
kish,
kishi,
kishion,
kishon,
kison,
kiss,kiss
kissed,kissed
kisses,
kite,kite
kithlish,
kitron,
kittim,
knead,knead
kneaded,kneaded
kneadingtroughs,
knee,knee
kneel,kneel
kneeled,
kneeling,kneeling
knees,
knew,knew
knewest,
knife,knife
knit,knit
knives,
knock,knock
knocked,
knocketh,
knocking,knocking
knop,knop
knops,
know,know
knowest,
knoweth,
knowing,knowing
knowledge,knowledge
known,
koa,
kohath,
kohathites,
kolaiah,
korah,
korahite,
korahites,
korathites,
kore,
korhites,
koz,
kushaiah,
laadah,
laadan,
laban,
laban's,
labour,
laboured,
labourer,
labourers,
laboureth,
labouring,
labours,
lace,lace
lachish,
lack,lack
lacked,
lackest,
lacketh,
lacking,
lad,
lad's,
ladder,ladder
lade,lade
laded,laded
laden,
